Aged 3rd H,,,,,
T (K),V (mm3),,,,
610.678625,129.890370,,,,
610.694342,129.893137,,,,
610.958350,129.894674,,,,
611.021918,129.895289,,,,
611.352484,129.894982,,,,
611.413092,129.897441,,,,
611.597906,129.896929,,,,
611.953772,129.898056,,,,
611.915625,129.899388,,,,
612.123907,129.900413,,,,
612.178595,129.901848,,,,
612.546118,129.903898,,,,
612.796271,129.904205,,,,
612.851019,129.904923,,,,
612.919379,129.906870,,,,
613.065009,129.907280,,,,
613.279944,129.907280,,,,
613.377661,129.909228,,,,
613.652167,129.909843,,,,
613.837744,129.910765,,,,
613.745917,129.912200,,,,
614.167853,129.912815,,,,
614.273413,129.914250,,,,
614.448126,129.915275,,,,
614.559515,129.916812,,,,
614.860114,129.916300,,,,
615.022253,129.918145,,,,
615.278052,129.917735,,,,
615.242896,129.920092,,,,
615.492743,129.922142,,,,
615.353186,129.923167,,,,
615.798285,129.923987,,,,
615.910468,129.924500,,,,
616.140784,129.926345,,,,
616.337836,129.927677,,,,
616.600317,129.929112,,,,
616.546667,129.929727,,,,
616.682257,129.929727,,,,
617.003210,129.930342,,,,
617.176794,129.931777,,,,
617.174811,129.933315,,,,
617.533728,129.934750,,,,
617.732642,129.935263,,,,
617.752203,129.936903,,,,
617.856512,129.937518,,,,
618.056403,129.937415,,,,
618.202612,129.939670,,,,
618.370245,129.940798,,,,
618.488196,129.941618,,,,
618.884009,129.943258,,,,
619.073035,129.944898,,,,
619.033057,129.946436,,,,
619.266974,129.945718,,,,
619.350775,129.946846,,,,
619.638190,129.947871,,,,
619.607062,129.948999,,,,
619.945074,129.950844,,,,
620.010382,129.950434,,,,
620.292822,129.953510,,,,
620.364935,129.953612,,,,
620.680487,129.954637,,,,
620.883978,129.955765,,,,
620.781744,129.956790,,,,
621.143042,129.957405,,,,
621.363013,129.959148,,,,
621.498358,129.959456,,,,
621.693091,129.961814,,,,
621.778754,129.963146,,,,
621.775763,129.963454,,,,
622.170996,129.964274,,,,
622.390875,129.964684,,,,
622.555334,129.965709,,,,
622.621588,129.965607,,,,
622.878424,129.967760,,,,
622.870673,129.969093,,,,
623.164435,129.970733,,,,
623.418372,129.971348,,,,
623.505896,129.971553,,,,
623.622565,129.973706,,,,
623.789984,129.973296,,,,
624.010748,129.974629,,,,
624.131293,129.975757,,,,
624.177954,129.977910,,,,
624.448248,129.978833,,,,
624.716620,129.979858,,,,
624.917853,129.980063,,,,
624.917853,129.980576,,,,
625.110297,129.981806,,,,
625.313452,129.983037,,,,
625.464087,129.983754,,,,
625.670142,129.984985,,,,
625.807196,129.986010,,,,
625.940283,129.987343,,,,
626.230841,129.988676,,,,
626.265845,129.991547,,,,
626.360999,129.990932,,,,
626.584479,129.991342,,,,
626.858374,129.992880,,,,
626.906042,129.994418,,,,
627.138190,129.994931,,,,
627.279974,129.996264,,,,
627.510107,129.997187,,,,
627.604315,129.998007,,,,
627.753821,129.997597,,,,
628.172339,129.999647,,,,
628.116980,130.000160,,,,
628.350928,130.003852,,,,
628.347052,130.005390,,,,
628.704260,130.004467,,,,
628.881873,130.006825,,,,
629.005164,130.007646,,,,
629.188574,130.008466,,,,
629.289496,130.009697,,,,
629.382605,130.010415,,,,
629.606818,130.011440,,,,
629.844489,130.011748,,,,
629.982245,130.013696,,,,
630.034644,130.015337,,,,
